**Name**,**Symbol**,**Syntax**,**Description**
Parentheses,( ),( op ),Override the default evaluation order of the operators
Persistent assignment,<-,re <- op,Assigns an Expression to a persistent model artefact
Non persistent assignment,:=,re := op,Assigns an Expression to a non persistent model artefact
Membership,#,ds#comp,Identifies a Component within a Data Set
User defined operator call,,"operator_name ( { argument {, argument }\* } )",Invokes a user defined operator passing the arguments
Evaluation of an external routine,eval,"eval ( externalRoutineName ( {argument} {, argument }\* ), language, returns outputType )",Evaluates an external routine
Type conversion,cast,"cast ( op, scalarType {, mask } )",converts to the specified data type
Join,"inner_join, left_join, full_join, cross_join","joinOperator ( ds { as alias } { , ds { as alias }}*
{ using usingComp }
{ filter filterCondition }
{ apply applyExpr | calc calcClause | aggr aggrClause { groupingClause } }
{ keep comp {, comp }* | drop comp {, comp }*  }
{ rename compFrom to compTo { , compFrom to compTo }* } )

joinOperator::= { inner_join | left_join| full_join | cross_join } :sup:`1`

calcClause ::=  { calcRole } calcComp := calcExpr
{ , { calcRole }  calcComp := calcExpr }*

calcRole :: { identifier | measure | attribute | viral attribute} :sup:`1`

aggrClause ::=  { aggrRole } aggrComp := aggrExpr
{ , { aggrRole } aggrComp := aggrExpr }*

aggrRole ::=  { measure | attribute | viral attribute } :sup:`1`

groupingClause  ::=  { group by idList | group except idList | group all conversionExpr } :sup:`1`
{ having havingCondition }","Inner join, left outer join, full outer join, cross join"
String concatenation,||,op1 || op2,Concatenates two strings
Whitespace removal,"trim, rtrim, ltrim",{trim|ltrim|rtrim} :sup:`1` ( op ),Removes trailing or/and leading whitespace from a string
Character case conversion,"upper, lower",{upper | lower} :sup:`1` ( op ),Converts the character case of a string in upper or lower case
Sub-string extraction,substr,"substr ( op, start, length )",Extracts the substring that starts in a specified position and has a specified length
String pattern replacement,replace,"replace (op, pattern1, pattern2 )",Replaces a specified string-pattern with another one
String pattern location,instr,"instr( op, pattern, start, occurrence )",Returns the location of a specified string-pattern
String length,length,length ( op ),Returns the length of a string
Unary plus,\+,\+ op,Replicates the operand with the sign unaltered
Unary minus,\-,\- op,Replicates the operand with the sign changed
Addition,\+,op1 \+ op2,Sums two numbers
Subtraction,\-,op1 - op2,Subtracts two numbers
Multiplication,\*,op1 \* op2,Multiplies two numbers
Division,/,op1 / op2,Divides two numbers
Modulo,mod,"mod ( op1, op2)",Calculates the remainder of a number divided by a certain divisor
Rounding,round,"round ( op, numDigit )",Rounds a number to a certain digit
Truncation,trunc,"trunc ( op, numDigit )",Truncates a number to a certain digit
Ceiling,ceil,ceil ( op ),Returns the smallest integer which is greater or equal than a number
Floor,floor,floor ( op ),Returns the greater integer which is smaller or equal than a number
Absolute value,abs,abs ( op ),Calculates the absolute value of a number
Exponential,exp,exp ( op ),Raises e (base of the natural logarithm) to a number
Natural logarithm,ln,ln ( op ),Calculates the natural logarithm of a number
Power,power,"power ( base, exponent)",Raises a number to a certain exponent
Logarithm,log,"log ( op, num )",Calculates the logarithm of a number to a certain base
Square root,sqrt,sqrt ( op ),Calculates the square root of a number
Equal to,=,left = right,Verifies if two values are equal
Not equal to,<>,left <> right,Verifies if two values are not equal
Greater than,">
>=",left { > | >= } :sup:`1` right,Verifies if a first value is greater ( or equal ) than a second value
Less than,"<
<=",left { < | <= } :sup:`1` right,Verifies if a first value is less (or equal) than a second value
Between,between,"between( op, from, to )",Verify if a value belongs to a range of values
